"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"357","Patrick Kane","CHI","R","246","5082.5666666667","107","164","108","56","271","79.24","864","12.38","74.85","1467","1118","726","240","34","68","94","46","46","0","0","65","112","130","83","358","50","25","95","20.83"
"214","Sidney Crosby","PIT","C","237","4824.9","109","154","89","65","263","72.45","750","14.53","87.61","1269","1008","815","365","35","95","112","51","50","0","1","61","193","121","245","276","98","2854","2736","51.06"
"1058","Connor McDavid","EDM","C","209","4349.3666666667","87","169","99","70","256","81.79","632","13.77","74.81","1011","823","762","405","32","77","58","29","29","0","0","106","138","220","74","285","85","973","1346","41.96"
"719","Nikita Kucherov","T.B","R","231","4426.7333333333","109","142","86","56","251","78.93","734","14.85","69.76","1413","1062","738","234","37","65","110","52","50","2","0","76","201","154","122","267","63","3","3","50.00"
"170","Blake Wheeler","WPG","R","245","4914.25","75","168","118","50","243","75.70","761","9.86","66.61","1288","1035","639","255","30","77","146","70","68","2","0","72","145","111","286","300","173","219","265","45.25"
"319","Jamie Benn","DAL","L","241","4759.0666666667","103","134","68","66","237","70.33","689","14.95","80.7","1181","925","763","377","44","87","177","76","69","7","0","74","201","183","385","218","164","819","797","50.68"
"1102","Artemi Panarin","CBJ, CHI","C, L","243","4708.0833333333","88","145","91","54","233","72.81","626","14.06","61.65","1199","890","622","184","38","47","77","36","35","1","0","65","141","156","84","267","47","2","15","11.76"
"264","Brad Marchand","BOS","C, L","225","4327.8166666667","110","121","67","54","231","74.28","658","16.72","68.16","1111","884","668","283","49","56","234","95","87","4","4","94","229","170","153","342","95","84","134","38.53"
"168","Evgeni Malkin","PIT","C","197","3739.6166666667","102","126","79","47","228","76.77","593","17.20","66.27","978","774","630","256","15","72","227","104","100","3","1","75","179","181","115","252","76","1142","1511","43.05"
"167","Alex Ovechkin","WSH","L","243","4762.2166666667","132","95","46","49","227","62.53","1066","12.38","99.36","2108","1545","960","295","65","119","135","66","65","1","0","65","167","78","580","205","84","3","6","33.33"
"283","Claude Giroux","PHI","C, R","242","4839.4","70","157","81","76","227","69.21","633","11.06","52.35","1146","841","518","167","31","75","111","48","46","1","1","83","124","113","181","192","87","2696","2021","57.15"
"294","Nicklas Backstrom","WSH","C","238","4528.45","64","163","88","75","227","75.67","456","14.04","44.99","770","618","416","181","12","37","120","56","55","0","1","41","139","147","133","238","134","2046","2015","50.38"
"592","Tyler Seguin","DAL","C","236","4628.1166666667","99","124","79","45","223","66.37","915","10.82","89.97","1589","1230","864","295","41","107","81","39","38","1","0","55","121","96","214","99","97","1661","1411","54.07"
"661","Johnny Gaudreau","CGY","L","231","4458.5833333333","72","151","95","56","223","76.90","626","11.50","60.22","1088","846","602","246","25","73","50","21","20","0","1","103","276","129","51","144","42","3","7","30.00"
"290","Phil Kessel","PIT","C, R","246","4510.5","83","138","87","51","221","66.37","764","10.86","67.12","1335","978","710","227","36","95","74","33","32","0","1","32","166","67","31","131","45","13","26","33.33"
"460","John Tavares","NYI","C","237","4765.6833333333","98","122","80","42","220","69.62","768","12.76","93.38","1376","1037","927","388","43","89","102","47","46","0","1","80","241","181","123","213","83","2478","2246","52.46"
"557","Evgeny Kuznetsov","WSH","C","243","4304.35","66","153","99","54","219","72.04","550","12.00","54.17","956","741","563","236","25","44","126","63","63","0","0","61","179","148","180","161","73","1449","1743","45.39"
"132","Brent Burns","S.J","D","246","6229.4833333333","68","150","82","68","218","60.89","1006","6.76","48.97","2303","1462","505","76","36","108","139","67","66","1","0","35","379","181","249","222","423","1","0","100.00"
"220","Anze Kopitar","L.A","C","239","5079.4","72","146","77","69","218","74.15","527","13.66","54.91","951","730","585","255","36","64","64","31","31","0","0","70","152","126","206","302","188","2825","2460","53.45"
"390","Erik Karlsson","OTT","D","230","6340.9666666667","42","173","88","85","215","62.68","662","6.34","35.45","1570","1013","391","68","29","102","114","56","56","0","0","57","288","175","209","338","496","0","1","0.00"
"575","Vladimir Tarasenko","STL","R","242","4530.1166666667","112","103","50","53","215","73.38","884","12.67","81.06","1686","1228","910","247","47","85","66","29","27","2","0","64","97","99","171","236","96","6","9","40.00"
"156","Joe Pavelski","S.J","C","245","4752.35","89","123","73","50","212","65.63","681","13.07","85.81","1195","969","828","414","26","67","105","48","47","1","0","66","221","123","370","241","210","1465","1240","54.16"
"589","Taylor Hall","EDM, N.J","L","230","4421.35","85","126","81","45","211","75.90","802","10.60","79.42","1326","1036","787","348","54","61","120","59","59","0","0","72","186","188","213","483","125","94","111","45.85"
"726","Mark Scheifele","WPG","C","210","4181.7833333333","84","119","70","49","203","68.58","479","17.54","59.56","814","656","589","267","18","46","102","47","46","0","1","71","110","175","159","369","101","1744","2042","46.06"
"930","Nathan MacKinnon","COL","C","228","4466.7333333333","76","126","78","48","202","69.90","780","9.74","68.4","1348","1062","756","249","58","97","91","36","32","3","1","72","125","111","140","203","105","1761","1964","47.28"
"363","Jakub Voracek","PHI","R","237","4516.4","51","150","94","56","201","68.14","694","7.35","58.62","1279","934","564","203","22","99","144","60","56","2","2","81","171","83","104","316","88","21","33","38.89"
"984","Leon Draisaitl","EDM","C","232","4355.3666666667","73","125","81","44","198","72.79","500","14.60","61.15","836","687","561","267","22","65","70","35","35","0","0","60","220","193","119","282","78","1650","1558","51.43"
